PATH;ID;REFERENCE;LABEL;WEIGHT;NATURE;TYPE;STATUS;DESCRIPTION;PRE_REQUISITE;CREATED_ON;CREATED_BY;LAST_MODIFIED_ON;LAST_MODIFIED_BY;ACTION;EXPECTED_RESULT
ThingsPro Gateway V2/Basic Configuration/Login/out;6;02;Sign in (right information);LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;"Email:root@moxa.com Password: root1234
Email:admin@moxa.com Password:admin1234
Email:user@moxa.com Password:user1234";;6/14/18 11:16 PM;admin;6/19/18 2:27 AM;tingt_yen;"And input Invalid ""Password""";
ThingsPro Gateway V2/Basic Configuration/Login/out;6;02;Sign in (right information);LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;"Email:root@moxa.com Password: root1234
Email:admin@moxa.com Password:admin1234
Email:user@moxa.com Password:user1234";;6/14/18 11:16 PM;admin;6/19/18 2:27 AM;tingt_yen;"And click""Sign in""";
ThingsPro Gateway V2/Basic Configuration/Login/out;6;02;Sign in (right information);LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;"Email:root@moxa.com Password: root1234
Email:admin@moxa.com Password:admin1234
Email:user@moxa.com Password:user1234";;6/14/18 11:16 PM;admin;6/19/18 2:27 AM;tingt_yen;Then Navigate to home page;
ThingsPro Gateway V2/Basic Configuration/Login/out;7;03;"Sign in and ""remember me""";LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/14/18 11:16 PM;admin;6/19/18 2:28 AM;tingt_yen;"Given Click on the ""ADMIN"" box page";
ThingsPro Gateway V2/Basic Configuration/Login/out;7;03;"Sign in and ""remember me""";LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/14/18 11:16 PM;admin;6/19/18 2:28 AM;tingt_yen;"when input valid ""Email""";
ThingsPro Gateway V2/Basic Configuration/Login/out;7;03;"Sign in and ""remember me""";LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/14/18 11:16 PM;admin;6/19/18 2:28 AM;tingt_yen;"And input valid ""Password""";
ThingsPro Gateway V2/Basic Configuration/Login/out;7;03;"Sign in and ""remember me""";LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/14/18 11:16 PM;admin;6/19/18 2:28 AM;tingt_yen;"And click ""remember me""";
ThingsPro Gateway V2/Basic Configuration/Login/out;7;03;"Sign in and ""remember me""";LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/14/18 11:16 PM;admin;6/19/18 2:28 AM;tingt_yen;"And click""Sign in""";
ThingsPro Gateway V2/Basic Configuration/Login/out;7;03;"Sign in and ""remember me""";LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/14/18 11:16 PM;admin;6/19/18 2:28 AM;tingt_yen;"And click on the ""ADMIN"" box";
ThingsPro Gateway V2/Basic Configuration/Login/out;7;03;"Sign in and ""remember me""";LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/14/18 11:16 PM;admin;6/19/18 2:28 AM;tingt_yen;"And click ""Log out""";
ThingsPro Gateway V2/Basic Configuration/Login/out;7;03;"Sign in and ""remember me""";LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/14/18 11:16 PM;admin;6/19/18 2:28 AM;tingt_yen;"Then Navigate to ""Log in"" page";
ThingsPro Gateway V2/Basic Configuration/Login/out;7;03;"Sign in and ""remember me""";LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/14/18 11:16 PM;admin;6/19/18 2:28 AM;tingt_yen;"And show ""Email""";
ThingsPro Gateway V2/Basic Configuration/Login/out;8;04;log out;LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/14/18 11:16 PM;admin;6/19/18 2:28 AM;tingt_yen;Given Login;
ThingsPro Gateway V2/Basic Configuration/Login/out;8;04;log out;LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/14/18 11:16 PM;admin;6/19/18 2:28 AM;tingt_yen;"when Click on the ""ADMIN"" box on the upper-right corner";
ThingsPro Gateway V2/Basic Configuration/Login/out;8;04;log out;LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/14/18 11:16 PM;admin;6/19/18 2:28 AM;tingt_yen;"Then Navigate to ""Log in"" page";
ThingsPro Gateway V2/Installation;12;01;Installation on MC-1121-LX;LOW;NAT_FUNCTIONAL_TESTING;TYP_UNDEFINED;WORK_IN_PROGRESS;;;6/14/18 11:16 PM;admin;6/19/18 2:28 AM;tingt_yen;http://samba.syssw.moxa.com/Software/ThingsPro/;
ThingsPro Gateway V2/Installation;13;02;Installation on UC-8112-LX;LOW;NAT_FUNCTIONAL_TESTING;TYP_UNDEFINED;WORK_IN_PROGRESS;;;6/14/18 11:16 PM;admin;6/19/18 2:28 AM;tingt_yen;http://samba.syssw.moxa.com/Software/ThingsPro/;
ThingsPro Gateway V2/Installation;14;03;Installation on UC-8112-ME-LX;LOW;NAT_FUNCTIONAL_TESTING;TYP_UNDEFINED;WORK_IN_PROGRESS;;;6/14/18 11:16 PM;admin;6/19/18 2:28 AM;tingt_yen;http://samba.syssw.moxa.com/Software/ThingsPro/;
ThingsPro Gateway V2/Installation;333;04;Installation on UC-5112;LOW;NAT_FUNCTIONAL_TESTING;TYP_UNDEFINED;WORK_IN_PROGRESS;;;9/2/18 10:43 PM;tingt_yen;9/2/18 10:47 PM;tingt_yen;http://samba.syssw.moxa.com/Software/ThingsPro/;
ThingsPro Gateway V2/Installation;334;05;Installation on UC-2100 Series;LOW;NAT_FUNCTIONAL_TESTING;TYP_UNDEFINED;WORK_IN_PROGRESS;"UC-2104, UC-2111, UC-2112

- ThingsPro Gateway V2.5.0 should be able to monitor & configure the 
hardware capabilities which required as ThingsPro Gateway V2.3.0.";;9/2/18 10:47 PM;tingt_yen;9/2/18 10:49 PM;tingt_yen;http://samba.syssw.moxa.com/Software/ThingsPro/;
ThingsPro Gateway V2/Installation;335;06;Installation on UC-3100 Series;LOW;NAT_FUNCTIONAL_TESTING;TYP_UNDEFINED;WORK_IN_PROGRESS;"UC-3101, UC-3111, UC-3121

- ThingsPro Gateway V2.5.0 should be able to monitor & configure the 
hardware capabilities which required as ThingsPro Gateway V2.3.0.";;9/2/18 10:49 PM;tingt_yen;9/2/18 11:10 PM;tingt_yen;http://samba.syssw.moxa.com/Software/ThingsPro/;
ThingsPro Gateway V2/Performance;16;01;CPU loading <= 30%;LOW;NAT_FUNCTIONAL_TESTING;TYP_UNDEFINED;WORK_IN_PROGRESS;at full gateway functions loading without user program;;6/14/18 11:16 PM;admin;6/19/18 2:28 AM;tingt_yen;wait full gateway functions loading;"$ top

 CPU loading <= 30% <http://squash.moxa.com:8006/squash/test-cases/16/info>"
ThingsPro Gateway V2/Basic Configuration/Choosing a Language for the User Interface;18;01;English for the User Interface;LOW;NAT_UNDEFINED;TYP_UNDEFINED;WORK_IN_PROGRESS;;;6/18/18 7:13 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;Given Login ;
ThingsPro Gateway V2/Basic Configuration/Choosing a Language for the User Interface;18;01;English for the User Interface;LOW;NAT_UNDEFINED;TYP_UNDEFINED;WORK_IN_PROGRESS;;;6/18/18 7:13 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;"when Click on the ""Langunge"" box on the upper-right corner";
ThingsPro Gateway V2/Basic Configuration/Choosing a Language for the User Interface;18;01;English for the User Interface;LOW;NAT_UNDEFINED;TYP_UNDEFINED;WORK_IN_PROGRESS;;;6/18/18 7:13 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;"And click ""English""";
ThingsPro Gateway V2/Basic Configuration/Choosing a Language for the User Interface;18;01;English for the User Interface;LOW;NAT_UNDEFINED;TYP_UNDEFINED;WORK_IN_PROGRESS;;;6/18/18 7:13 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;Then Display English interface;
ThingsPro Gateway V2/Basic Configuration/Choosing a Language for the User Interface;19;02;Chinese for the User Interface;LOW;NAT_UNDEFINED;TYP_UNDEFINED;WORK_IN_PROGRESS;;;6/18/18 8:35 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;Given Login ;
ThingsPro Gateway V2/Basic Configuration/Choosing a Language for the User Interface;19;02;Chinese for the User Interface;LOW;NAT_UNDEFINED;TYP_UNDEFINED;WORK_IN_PROGRESS;;;6/18/18 8:35 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;"when Click on the ""Langunge"" box on the upper-right corner";
ThingsPro Gateway V2/Basic Configuration/Choosing a Language for the User Interface;19;02;Chinese for the User Interface;LOW;NAT_UNDEFINED;TYP_UNDEFINED;WORK_IN_PROGRESS;;;6/18/18 8:35 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;"And click ""chinese""";
ThingsPro Gateway V2/Basic Configuration/Choosing a Language for the User Interface;19;02;Chinese for the User Interface;LOW;NAT_UNDEFINED;TYP_UNDEFINED;WORK_IN_PROGRESS;;;6/18/18 8:35 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;Then Display Chinese interface;
ThingsPro Gateway V2/Basic Configuration/Device Information;22;01;Edit Hostname/Device Name;LOW;NAT_FUNCTIONAL_TESTING;TYP_COMPLIANCE_TESTING;WORK_IN_PROGRESS;"Gateway 	  	  	  	  	  	 
  	Role Attribute 	Name 	1.root 	2.Admin 	3.User 	 
  	  	Number of account 	1 	unlimited 	unlimited 	 
  	Role Permission 	? 	root 	Admin 	User 	 
  	  	Home 	R 	E 	R 	 
  	  	Gateway 	E 	E 	R 	 
  	  	User Account 	E (root pwd only) 	E 	R 	 
  	  	User Program 	E 	E 	R 	 
  	  	MODBUS & Logging 	E 	E 	R 	 
  	  	MODBUS Slave 	E 	E 	R 	 
  	  	Installed Application 	E 	E 	R 	 
  	  	Application Market 	E 	I 	I 	NA now
  	  	Token 	E 	I 	I 	 
  	Default Account 	Role 	Account 	Name 	Password 	 
  	  	root 	root@moxa.com <mailto:root@moxa.com> 	root 	root1234 	 
  	  	Admin 	admin@moxa.com <mailto:admin@moxa.com> 	admin 	admin1234 	 
  	  	User 	user@moxa.com <mailto:user@moxa.com> 	user 	user1234 	 ";;6/18/18 10:59 PM;tingt_yen;6/22/18 12:06 AM;tingt_yen;Given Home page;
ThingsPro Gateway V2/Basic Configuration/Device Information;22;01;Edit Hostname/Device Name;LOW;NAT_FUNCTIONAL_TESTING;TYP_COMPLIANCE_TESTING;WORK_IN_PROGRESS;"Gateway 	  	  	  	  	  	 
  	Role Attribute 	Name 	1.root 	2.Admin 	3.User 	 
  	  	Number of account 	1 	unlimited 	unlimited 	 
  	Role Permission 	? 	root 	Admin 	User 	 
  	  	Home 	R 	E 	R 	 
  	  	Gateway 	E 	E 	R 	 
  	  	User Account 	E (root pwd only) 	E 	R 	 
  	  	User Program 	E 	E 	R 	 
  	  	MODBUS & Logging 	E 	E 	R 	 
  	  	MODBUS Slave 	E 	E 	R 	 
  	  	Installed Application 	E 	E 	R 	 
  	  	Application Market 	E 	I 	I 	NA now
  	  	Token 	E 	I 	I 	 
  	Default Account 	Role 	Account 	Name 	Password 	 
  	  	root 	root@moxa.com <mailto:root@moxa.com> 	root 	root1234 	 
  	  	Admin 	admin@moxa.com <mailto:admin@moxa.com> 	admin 	admin1234 	 
  	  	User 	user@moxa.com <mailto:user@moxa.com> 	user 	user1234 	 ";;6/18/18 10:59 PM;tingt_yen;6/22/18 12:06 AM;tingt_yen;When edit Hostname;
ThingsPro Gateway V2/Basic Configuration/Device Information;22;01;Edit Hostname/Device Name;LOW;NAT_FUNCTIONAL_TESTING;TYP_COMPLIANCE_TESTING;WORK_IN_PROGRESS;"Gateway 	  	  	  	  	  	 
  	Role Attribute 	Name 	1.root 	2.Admin 	3.User 	 
  	  	Number of account 	1 	unlimited 	unlimited 	 
  	Role Permission 	? 	root 	Admin 	User 	 
  	  	Home 	R 	E 	R 	 
  	  	Gateway 	E 	E 	R 	 
  	  	User Account 	E (root pwd only) 	E 	R 	 
  	  	User Program 	E 	E 	R 	 
  	  	MODBUS & Logging 	E 	E 	R 	 
  	  	MODBUS Slave 	E 	E 	R 	 
  	  	Installed Application 	E 	E 	R 	 
  	  	Application Market 	E 	I 	I 	NA now
  	  	Token 	E 	I 	I 	 
  	Default Account 	Role 	Account 	Name 	Password 	 
  	  	root 	root@moxa.com <mailto:root@moxa.com> 	root 	root1234 	 
  	  	Admin 	admin@moxa.com <mailto:admin@moxa.com> 	admin 	admin1234 	 
  	  	User 	user@moxa.com <mailto:user@moxa.com> 	user 	user1234 	 ";;6/18/18 10:59 PM;tingt_yen;6/22/18 12:06 AM;tingt_yen;And edit device name;
ThingsPro Gateway V2/Basic Configuration/Device Information;22;01;Edit Hostname/Device Name;LOW;NAT_FUNCTIONAL_TESTING;TYP_COMPLIANCE_TESTING;WORK_IN_PROGRESS;"Gateway 	  	  	  	  	  	 
  	Role Attribute 	Name 	1.root 	2.Admin 	3.User 	 
  	  	Number of account 	1 	unlimited 	unlimited 	 
  	Role Permission 	? 	root 	Admin 	User 	 
  	  	Home 	R 	E 	R 	 
  	  	Gateway 	E 	E 	R 	 
  	  	User Account 	E (root pwd only) 	E 	R 	 
  	  	User Program 	E 	E 	R 	 
  	  	MODBUS & Logging 	E 	E 	R 	 
  	  	MODBUS Slave 	E 	E 	R 	 
  	  	Installed Application 	E 	E 	R 	 
  	  	Application Market 	E 	I 	I 	NA now
  	  	Token 	E 	I 	I 	 
  	Default Account 	Role 	Account 	Name 	Password 	 
  	  	root 	root@moxa.com <mailto:root@moxa.com> 	root 	root1234 	 
  	  	Admin 	admin@moxa.com <mailto:admin@moxa.com> 	admin 	admin1234 	 
  	  	User 	user@moxa.com <mailto:user@moxa.com> 	user 	user1234 	 ";;6/18/18 10:59 PM;tingt_yen;6/22/18 12:06 AM;tingt_yen;Then display success message;
ThingsPro Gateway V2/Basic Configuration/Device Information;23;02;check Information;LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/18/18 10:59 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;Given Home page;
ThingsPro Gateway V2/Basic Configuration/Device Information;23;02;check Information;LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/18/18 10:59 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;When End of information loading;
ThingsPro Gateway V2/Basic Configuration/Device Information;23;02;check Information;LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/18/18 10:59 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;Then show all information;"Hostname

Device

name

Software version

Uptime

Memory size"
ThingsPro Gateway V2/Basic Configuration/Realtime status monitoring;25;01;check Realtime status(memory,disk usage,CPU usage);LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/18/18 10:59 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;Given Home page;
ThingsPro Gateway V2/Basic Configuration/Realtime status monitoring;25;01;check Realtime status(memory,disk usage,CPU usage);LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/18/18 10:59 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;When loading infomation finished;
ThingsPro Gateway V2/Basic Configuration/Realtime status monitoring;25;01;check Realtime status(memory,disk usage,CPU usage);LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/18/18 10:59 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;Then show correct information;check Realtime status(memory,disk usage,CPU usage)
ThingsPro Gateway V2/Basic Configuration/Realtime status monitoring;26;02;view disk usages of secondary storages (such as SD card and USB storage);LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/18/18 10:59 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;Given Home page;
ThingsPro Gateway V2/Basic Configuration/Realtime status monitoring;26;02;view disk usages of secondary storages (such as SD card and USB storage);LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/18/18 10:59 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;When insert USB/SD card;
ThingsPro Gateway V2/Basic Configuration/Realtime status monitoring;26;02;view disk usages of secondary storages (such as SD card and USB storage);LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/18/18 10:59 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;And loading infomation finished;
ThingsPro Gateway V2/Basic Configuration/Realtime status monitoring;26;02;view disk usages of secondary storages (such as SD card and USB storage);LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/18/18 10:59 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;Then show correct information;check Secondary storage
ThingsPro Gateway V2/Basic Configuration/Realtime status monitoring;27;03;remove secondary storages;LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/18/18 10:59 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;Given Home page;
ThingsPro Gateway V2/Basic Configuration/Realtime status monitoring;27;03;remove secondary storages;LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/18/18 10:59 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;When remove USB/SD card;
ThingsPro Gateway V2/Basic Configuration/Realtime status monitoring;27;03;remove secondary storages;LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/18/18 10:59 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;And loading infomation finished;
ThingsPro Gateway V2/Basic Configuration/Realtime status monitoring;27;03;remove secondary storages;LOW;NAT_FUNCTIONAL_TESTING;TYP_END_TO_END_TESTING;WORK_IN_PROGRESS;;;6/18/18 10:59 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;Then show correct information;check Secondary storage
ThingsPro Gateway V2/Basic Configuration/Control Panel;29;01;Network Setting;LOW;NAT_FUNCTIONAL_TESTING;TYP_UNDEFINED;WORK_IN_PROGRESS;;;6/18/18 10:59 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;Given click Control Panel;
ThingsPro Gateway V2/Basic Configuration/Control Panel;29;01;Network Setting;LOW;NAT_FUNCTIONAL_TESTING;TYP_UNDEFINED;WORK_IN_PROGRESS;;;6/18/18 10:59 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;When Enable/Disable Syslog;
ThingsPro Gateway V2/Basic Configuration/Control Panel;29;01;Network Setting;LOW;NAT_FUNCTIONAL_TESTING;TYP_UNDEFINED;WORK_IN_PROGRESS;;;6/18/18 10:59 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;And Enable/Disable SSH Server;
ThingsPro Gateway V2/Basic Configuration/Control Panel;29;01;Network Setting;LOW;NAT_FUNCTIONAL_TESTING;TYP_UNDEFINED;WORK_IN_PROGRESS;;;6/18/18 10:59 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;And Enable/Disable SSDP;
ThingsPro Gateway V2/Basic Configuration/Control Panel;29;01;Network Setting;LOW;NAT_FUNCTIONAL_TESTING;TYP_UNDEFINED;WORK_IN_PROGRESS;;;6/18/18 10:59 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;And Enable/Disable Web Access from Wan;Disable : can't connect via Eth0 IP
ThingsPro Gateway V2/Basic Configuration/Control Panel;29;01;Network Setting;LOW;NAT_FUNCTIONAL_TESTING;TYP_UNDEFINED;WORK_IN_PROGRESS;;;6/18/18 10:59 PM;tingt_yen;6/19/18 2:28 AM;tingt_yen;And Enable/Disable Fixed DNS;
